Complaint_Text,Label
Door lock indicator light flashes rapidly but door does not secure. Faulty solenoid in the door lock assembly.,QUALITY_ISSUE
Unit intermittently leaks small amounts from the drain pump connection. Casing joint not sealed correctly at factory.,QUALITY_ISSUE
"Machine is burning clothes during the dry cycle. Thermal sensor is giving incorrect readings, causing overheat.",QUALITY_ISSUE
Excessive vibration in the drum. Counterweights are loose from the main drum assembly.,QUALITY_ISSUE
Display lights are dimmed/flickering. Backlight LED array on the fascia board is failing.,QUALITY_ISSUE
Machine tripping the main breaker after 5 minutes of heating. Short circuit in the wiring near the heater terminal.,QUALITY_ISSUE
Clothes are coming out slimy. Customer using too much homemade eco-friendly detergent with poor suds control.,NON_QUALITY_ISSUE
Machine stopped. The laundry room floor drain was backed up and flooded the area.,NON_QUALITY_ISSUE
Customer reports E5 error. Error indicates detergent drawer is not shut. Customer confirms it was left ajar.,NON_QUALITY_ISSUE
Drain hose split at the back due to friction against the wall. Replacement needed due to wear/tear.,NON_QUALITY_ISSUE
Clothes are not clean. Customer uses a heavily soiled cloth to wipe the drum before putting in clothes.,NON_QUALITY_ISSUE
"Water is left in the tub after cycle. Technician found a child's toy stuck in the drain filter, blocking flow.",NON_QUALITY_ISSUE
Customer states cycle times are much longer than expected. Low household water pressure slowing fill rate.,NON_QUALITY_ISSUE
Machine is only running in cold water. Customer forgot to turn on the hot water tap after moving.,NON_QUALITY_ISSUE
"Drum bearing failure, making a high-pitched metallic shriek during spin.",QUALITY_ISSUE
"Pressure switch not reading correctly, causing unit to overfill and leak from the soap drawer.",QUALITY_ISSUE
"Water filling but immediately draining out. Anti-siphon valve is defective, causing a constant siphoning effect.",QUALITY_ISSUE
Control panel unresponsive to touch inputs. Faulty membrane/touch sensor layer on the PCB.,QUALITY_ISSUE
Door latch is loose and needs minor adjustment to catch properly.,QUALITY_ISSUE
Machine stops with E20 error. Pump runs but water level sensor stuck high. Faulty level sensor.,QUALITY_ISSUE
"Clothes are covered in black grease. Drum seal failed, allowing lubricating grease from the bearing shaft to enter the tub.",QUALITY_ISSUE
Motor brushes worn down to minimum. Unit is 6 months old. Premature brush failure due to high RPM manufacturing defect.,QUALITY_ISSUE
Customer complaint of clothes shrinking. Advised on proper temperature selection for delicate fabrics.,NON_QUALITY_ISSUE
Unit fails to spin. Customer uses the 'No Spin' option frequently and forgot to change it.,NON_QUALITY_ISSUE
Service requested for replacement power cord after it was chewed by a pet.,NON_QUALITY_ISSUE
Small leak from the air gap/vent on the drain line. Drain hose pushed too far into the standpipe.,NON_QUALITY_ISSUE
Clothes are extremely wrinkled. Advised customer to remove clothes immediately after cycle finishes.,NON_QUALITY_ISSUE
"Machine reporting high vibration. Technician confirmed it was installed on a slick, uneven tile floor without anti-vibration pads.",NON_QUALITY_ISSUE
"Timer counts down but drum doesn't move. Broken drive belt, clearly visible wear and tear.",NON_QUALITY_ISSUE
Water is backflowing into the drum after drain cycle. Faulty non-return valve on the drain pump.,QUALITY_ISSUE
Excessive consumption of water. Inlet flow meter component is sending wrong pulse signals to the PCB.,QUALITY_ISSUE
Drum has visible rust damage inside. Poor quality steel used for the drum shell.,QUALITY_ISSUE
"Intermittent power failure. Internal EMI filter board is faulty, causing random shutdowns.",QUALITY_ISSUE
Loud clicking noise when door is opening. Door hinge is misaligned from the factory assembly.,QUALITY_ISSUE
Drain hose keeps falling out of the standpipe. Customer failed to secure it with the provided retainer clip.,NON_QUALITY_ISSUE
Customer confused by the different wash cycles. Requested a tutorial on the different program options.,NON_QUALITY_ISSUE
Machine vibrates heavily. Technician found large rocks/debris in the drum from a previous construction wash.,NON_QUALITY_ISSUE
Unit displaying 'Lid Open' on a top-loader. The safety switch is jammed with a small clothing item.,NON_QUALITY_ISSUE
Machine leaking soapy water. Customer using double the recommended amount of detergent for every load.,NON_QUALITY_ISSUE
Water hammer noise on fill cycle. Customer needs to install a water hammer arrestor on their plumbing line.,NON_QUALITY_ISSUE
Customer reports machine only accepting small loads. Found the scale is set to maximum sensitivity.,NON_QUALITY_ISSUE
Machine making a high-pitched whine. Low oil in the gear box due to an internal seal leak.,QUALITY_ISSUE
Faulty cold water solenoid valve stuck open. Water continuously fills the drum even when powered off.,QUALITY_ISSUE
Main power button physically stuck in the 'on' position. Poor quality switch mechanism failure.,QUALITY_ISSUE
Machine intermittently refuses to heat. Wiring harness to the heater relay is loose due to vibration.,QUALITY_ISSUE
"Unit stops with error H1. Checked tech manual, points to a faulty communication chip on the main PCB.",QUALITY_ISSUE
Clothes still dirty. Customer confirmed they only use a single rinse cycle for all loads.,NON_QUALITY_ISSUE
Technician reports faulty component code F7. Found the cable connecting the motor to the MCB is frayed.,QUALITY_ISSUE
Loud grinding from the motor housing. Rotor shaft is cracked near the stator coil mount.,QUALITY_ISSUE
Customer claims machine is dead. Technician found the external circuit breaker had tripped.,NON_QUALITY_ISSUE
E50 error displayed. Found the drive belt is heavily frayed and slipping due to old age (7 years).,NON_QUALITY_ISSUE
The detergent drawer is permanently stained blue/green. Advised customer on proper cleaning frequency.,NON_QUALITY_ISSUE
"Water heater element failure, confirmed no continuity. Heater replacement required.",QUALITY_ISSUE
Unit leaks from the soap dispenser area only during initial fill. Defective water jet in the housing.,QUALITY_ISSUE
Customer complains of poor wash results. Machine is consistently under-loaded for the selected cycle.,NON_QUALITY_ISSUE
"Machine makes a ""thumping"" sound at low speed. Found a small rock stuck between the inner and outer drum.",NON_QUALITY_ISSUE
Door opens during a spin cycle. Door interlock solenoid is weak and fails to latch under load.,QUALITY_ISSUE
"Fails to spin fast. Tacho sensor harness has a cold solder joint, causing intermittent speed readings.",QUALITY_ISSUE
"Installation issue: Drain hose is lower than the water level in the drain pipe, causing constant backwash.",NON_QUALITY_ISSUE
Clothes smell burnt after drying. Customer never cleans the lint filter screen.,NON_QUALITY_ISSUE
Machine shuts down immediately when the motor tries to draw power. Motor winding is internally shorted.,QUALITY_ISSUE
"Customer using non-HE detergent, resulting in excessive suds and cycle time extension.",NON_QUALITY_ISSUE
The rubber boot seal has a tear. Defective rubber quality caused premature tear.,QUALITY_ISSUE
Machine displays error E1. Customer did not turn on the water tap after basement cleaning.,NON_QUALITY_ISSUE
Control panel flashes error code C9. Faulty memory chip on the main board causing configuration loss.,QUALITY_ISSUE
"Water level sensor stuck high. Unit continues to fill, overflowing the drum.",QUALITY_ISSUE
"Unit shakes violently, even with small loads. Technician found two suspension springs were missing.",QUALITY_ISSUE
Detergent drawer keeps clogging. Advised customer to dilute fabric softener before use.,NON_QUALITY_ISSUE
Clothes are severely wrinkled. Customer leaves clothes sitting in the drum for hours after cycle completion.,NON_QUALITY_ISSUE
Machine is noisy during agitation. Foreign objects (coins) stuck inside the pump inlet hose.,NON_QUALITY_ISSUE
"Machine won't drain. Pump runs, but no water moves. Impeller has broken fins from the factory molding.",QUALITY_ISSUE
Machine leaks from the back during filling. Faulty inlet valve assembly with a hairline crack in the plastic body.,QUALITY_ISSUE
Unit is dead. Customer plugged machine into an ungrounded extension cord which fried the noise filter.,NON_QUALITY_ISSUE
"Customer claims clothes are still soapy. Checked machine, customer using the 'Rinse Hold' feature.",NON_QUALITY_ISSUE
Loud clicking noise when the machine is paused. Faulty door release solenoid mechanism.,QUALITY_ISSUE
Clothes are ripped in small holes. Customer washes delicate items with heavy zippers/buttons in the same load.,NON_QUALITY_ISSUE
Main drum bearing failed after 18 months. Bearing cage shattered due to poor material specification.,QUALITY_ISSUE
Display panel is blank. Power supply section on the display PCB has failed components.,QUALITY_ISSUE
Customer reports the lid will not close. Small towel piece stuck in the lid lock mechanism.,NON_QUALITY_ISSUE
Drain hose is cracked near the connection. Old age and chemical exposure caused material degradation.,NON_QUALITY_ISSUE
Machine fills with water but then immediately drains. Faulty anti-siphon valve assembly.,QUALITY_ISSUE
"Unit shakes violently. Technician found the concrete counterweights were poorly secured, rattling loose.",QUALITY_ISSUE
Customer complains of a musty smell. Advised on cleaning the rubber door gasket and running a hot cycle.,NON_QUALITY_ISSUE
Water inlet hose leaking profusely. Customer used a damaged hose from their previous machine.,NON_QUALITY_ISSUE
Error L2: Door cannot be secured. Door latch sensor is misaligned and requires adjustment.,QUALITY_ISSUE
Unit stops with error E32. Thermistor (temperature sensor) is reading 150°C when water is cold.,QUALITY_ISSUE
"Machine is not cleaning well. Customer only uses the cold wash feature for all fabrics, including heavily soiled items.",NON_QUALITY_ISSUE
Clothes are covered in lint. Customer does not separate darks and lights before washing.,NON_QUALITY_ISSUE
Loud metallic squealing noise on every rotation. Drum spider arm has failed at the weld joint.,QUALITY_ISSUE
Main control board has intermittent power. Found a trace on the PCB corroded by water splash from the dispenser.,QUALITY_ISSUE
Unit fills very slowly. Found customer's house water pressure is abnormally low (20 psi).,NON_QUALITY_ISSUE
Clothes are still wet. Customer only selects the lowest spin speed setting (400 RPM).,NON_QUALITY_ISSUE
Machine will not start. Technician found the 'Start/Pause' button has failed internally.,QUALITY_ISSUE
Machine leaks when adding detergent. Customer is filling the dispenser past the max line.,NON_QUALITY_ISSUE
Error D7 detected. Drain pump motor is running continuously even when machine is off.,QUALITY_ISSUE
Motor won't spin. Confirmed a short in the motor harness connection plug.,QUALITY_ISSUE
"Machine is dead. Found a penny jammed in the main power switch, preventing it from latching.",NON_QUALITY_ISSUE
Customer complaints of faded colors. Advised customer to turn clothes inside out before washing.,NON_QUALITY_ISSUE
The motor control board (MCB) suffered a power spike and is visibly damaged.,QUALITY_ISSUE
"Machine makes a ""clunk"" on startup. Found shipping foam left under the drum by the installer.",NON_QUALITY_ISSUE
Rust spots forming on the cabinet exterior near the door. Low-quality paint finish.,QUALITY_ISSUE
Drain pipe connection is leaking. Customer reused an old pipe clamp that had lost its tension.,NON_QUALITY_ISSUE
"Machine cycles irregularly. Software on the main PCB is corrupted, requiring a full reflash.",QUALITY_ISSUE
"Customer reports clothes are too hot. Checked temp sensor, reading fine. Customer using the ""Sanitize"" cycle.",NON_QUALITY_ISSUE
Unit leaks from the tub-to-pump hose. Manufacturing defect in the rubber hose material.,QUALITY_ISSUE
Clothes ripped. Technician found a piece of barbed wire in the drum.,NON_QUALITY_ISSUE
Drum makes a severe scraping sound. Tub stabilizer shock absorber failed completely.,QUALITY_ISSUE
Machine stopped with F04 error. Error indicates water flow issue. Found the customer's external water filter is clogged.,NON_QUALITY_ISSUE
Main drum pulley is warped and causing the drive belt to slip off frequently.,QUALITY_ISSUE
Customer confused about the 'Detergent Ball' and put it in the wrong compartment.,NON_QUALITY_ISSUE
Display is showing random characters. Ribbon cable connection to the LCD is defective.,QUALITY_ISSUE
Clothes are not rinsed properly. Technician found the water inlet solenoid valve is only opening halfway.,QUALITY_ISSUE
Machine fails to drain. Found drain pump impeller stuck due to a small manufacturing flash/defect in the pump housing.,QUALITY_ISSUE
Unit rattles loudly. Customer insists it is level. Found a pair of scissors on the floor underneath the unit.,NON_QUALITY_ISSUE
Customer requests a replacement fill hose after their dog chewed it.,NON_QUALITY_ISSUE
Unit trips GFCI outlet. Short circuit in the main power cord terminal.,QUALITY_ISSUE
Water leaks from the back. Technician found the shipping bolt holes were not properly capped at the factory.,QUALITY_ISSUE
"Machine only completes 50% of the cycle. Customer pressed the 'Extra Rinse' button multiple times, confusing the logic.",NON_QUALITY_ISSUE
Drum is silent during spin. Motor shaft snapped clean in half at the bearing mount.,QUALITY_ISSUE
Customer states water is cold. Technician found the hot water supply valve was turned off at the wall.,NON_QUALITY_ISSUE
Machine intermittently fails to heat. Heater relay on the PCB has intermittent failure (sticking).,QUALITY_ISSUE
Clothes are smelling sour. Advised customer to use less water in their homemade detergent.,NON_QUALITY_ISSUE
Unit stops with error E60. Technician confirmed the main processor chip on the PCB is overheating.,QUALITY_ISSUE
Customer called because the machine won't start. Door was not properly shut by a family member.,NON_QUALITY_ISSUE
"Machine shakes heavily, legs are level. Found a large imbalance in the drum counterweight system.",QUALITY_ISSUE
Water is left in the tub. Technician found the drain standpipe was fully blocked with sludge from an old house drain.,NON_QUALITY_ISSUE
Drain pump is making a loud buzzing sound but not draining. Pump is burnt out due to manufacturing defect.,QUALITY_ISSUE
Customer says clothes are not dry. Machine is a combi unit. Found customer overloaded it past the drying weight limit.,NON_QUALITY_ISSUE
The start button is stiff and sometimes gets stuck. Faulty button mechanism in the fascia.,QUALITY_ISSUE
Customer reports high electricity bill. Advised customer to use the cold water setting for non-essential loads.,NON_QUALITY_ISSUE
Error code F16 flashes randomly. Found a loose connection in the wiring harness near the main terminal.,QUALITY_ISSUE
Water leaks from the back during spin. Customer failed to tighten the water inlet hoses securely.,NON_QUALITY_ISSUE
Drum seal leaking water onto the floor. Rubber seal cracked prematurely after 1 year.,QUALITY_ISSUE
Customer called because the display is completely off. Technician found the power strip was off.,NON_QUALITY_ISSUE
"Machine stops with E30 error. Water level sensor is reading empty, but the tub is full.",QUALITY_ISSUE
Clothes are stiff and scratchy. Customer lives in a hard water area and doesn't use water softener.,NON_QUALITY_ISSUE
Control panel touch input is erratic and ghosting. Moisture has entered the PCB behind the membrane.,QUALITY_ISSUE
"Unit vibrates heavily. Customer lives on the second floor with a wooden subfloor, machine needs a damping mat.",NON_QUALITY_ISSUE
"Motor runs, but the drum only jerks. Capacitors on the MCB are bloated and failing.",QUALITY_ISSUE
Customer reports the drain pump is loud. Advised that a loud hum is normal during the draining phase.,NON_QUALITY_ISSUE
"Loud clunking on every spin. Defective suspension dampener rod, leaking hydraulic fluid.",QUALITY_ISSUE
Water won't drain. Technician found a coin completely blocking the drain hose outlet at the wall pipe.,NON_QUALITY_ISSUE
Machine trips the main breaker. Short in the wiring loom where it passes through a metal panel edge.,QUALITY_ISSUE
"Customer requests service for replacement detergent dispenser drawer, which was damaged by dropping.",NON_QUALITY_ISSUE
Drum spider arm snapped at the base plate weld. Critical structural failure.,QUALITY_ISSUE
Machine not filling with water. Customer reports low water pressure due to town maintenance.,NON_QUALITY_ISSUE
"The door hinge is visibly warped, making the door difficult to close. Poor metal strength.",QUALITY_ISSUE
"Clothes still wet. Customer is using the 'Delicate' cycle, which defaults to a low spin speed.",NON_QUALITY_ISSUE
Intermittent failure to heat. Heater connection wire is loose on the terminal block.,QUALITY_ISSUE
"Customer using generic, non-OEM soap dispenser inserts. Causes poor water flow.",NON_QUALITY_ISSUE
Machine stops with E70 error. Faulty communication line between the main and display PCBs.,QUALITY_ISSUE
Clothes are still dirty. Customer washes extremely large loads with minimal detergent.,NON_QUALITY_ISSUE
"Pump runs constantly, even when off. Defective drain pump control relay on the PCB.",QUALITY_ISSUE
Water level too low. Technician found a kink in the external fill hose restricting flow.,NON_QUALITY_ISSUE
"Drum is moving freely, but the motor is locked up. Stator failure due to overheating.",QUALITY_ISSUE
Machine stops with E8 error. Found customer manually paused and restarted the machine multiple times too quickly.,NON_QUALITY_ISSUE
Drum bearing noise is loud and consistent. Bearing failed after only 1 year.,QUALITY_ISSUE
Customer complaints of a vibrating sound. Found the small plastic cover on the drain pump motor is loose.,NON_QUALITY_ISSUE
Water leaks from the front door seal. Seal has a small puncture from a sharp object.,NON_QUALITY_ISSUE
Unit keeps stopping. Technician found the power outlet itself is faulty and needs replacement.,NON_QUALITY_ISSUE
Digital display is completely blank. Backlight inverter board failed.,QUALITY_ISSUE
Detergent clumping in the drawer. Advised customer on using warm water to flush the dispenser after each use.,NON_QUALITY_ISSUE
Drum scrapes the tub. Suspension spring detaches during spin due to faulty anchor point weld.,QUALITY_ISSUE
Machine only runs short cycles. Customer is using the 'Delay Start' function incorrectly as a timer.,NON_QUALITY_ISSUE
"Motor runs, but drum doesn't spin. Drive belt is snapped due to manufacturing flaw in the rubber compound.",QUALITY_ISSUE
Machine is very loud. Customer lives in an apartment and requested service to lower the maximum spin speed setting.,NON_QUALITY_ISSUE
"Drain pump housing seal failure, causing water to leak onto the floor during drain.",QUALITY_ISSUE
Clothes have white streaks. Customer used too much bleaching agent which stained the fabric.,NON_QUALITY_ISSUE
Unit fails to turn on. The internal transformer on the main PCB is burnt out.,QUALITY_ISSUE
Machine is shaking. Found a small level bubble was used and it was slightly off. Used professional level to correct.,NON_QUALITY_ISSUE
Machine fills with hot water even on cold setting. Cold water valve actuator is stuck open.,QUALITY_ISSUE
Customer reports the drain pump is making a clicking noise. Found a shirt button was stuck in the impeller.,NON_QUALITY_ISSUE
Loud buzzing sound from the door lock. Solenoid plunger is binding due to poor tolerance on the component.,QUALITY_ISSUE
Water pressure is low. Checked water inlet. Customer's sediment filter for the whole house is heavily clogged.,NON_QUALITY_ISSUE
Machine intermittently stops and restarts. Faulty ground wire connection on the internal main power junction.,QUALITY_ISSUE
Customer requesting service because the filter screen is full of cat hair and debris.,NON_QUALITY_ISSUE
Door handle breaks repeatedly. Hinge pin is undersized for the torsional load.,QUALITY_ISSUE
Clothes are coming out smelling metallic. Found customer is using borehole water with high iron content.,NON_QUALITY_ISSUE
Machine stops mid-cycle. Pressure sensor cable is shorting intermittently against the tub metal.,QUALITY_ISSUE
"Unit vibrates heavily. Technician found the machine was installed on a slick, non-slip vinyl floor without pads.",NON_QUALITY_ISSUE
Rust is visible on the inner drum lip after only 4 months. Material defect in the steel alloy.,QUALITY_ISSUE
Drain hose is leaking. Customer used glue instead of a proper clamp to repair a previous puncture.,NON_QUALITY_ISSUE
F6 error code. Main PCB processor is failing under load (thermal shutdown).,QUALITY_ISSUE
Customer complaint of clothes shrinking. Advised on reading care labels and using lower temperature cycles.,NON_QUALITY_ISSUE
Water is continuously filling. The flow meter component is sending a continuous 'filling' signal to the control board.,QUALITY_ISSUE
"Clothes are still dirty. Technician found the customer is using a faulty, very old water softener unit.",NON_QUALITY_ISSUE
Loud scraping sound. Tub stabilizer shock absorber completely seized up.,QUALITY_ISSUE
Customer reports the drum is dirty. Advised customer to purchase and use a proper machine cleaning tablet monthly.,NON_QUALITY_ISSUE
Door seal has a large tear. Rubber compound failed prematurely due to poor quality control.,QUALITY_ISSUE
Machine will not start. Customer forgot to empty the water from the previous 'Rinse Hold' cycle.,NON_QUALITY_ISSUE
Excessive foaming. Customer is using three times the recommended amount of detergent per load.,NON_QUALITY_ISSUE
"Clothes are still wet. Customer only uses the 'Hand Wash' cycle, which has a default 0 RPM spin.",NON_QUALITY_ISSUE
Error E40 displayed. Door lock solenoid has failed to extend the locking pin.,QUALITY_ISSUE
Customer reports power failure. Found a loose fuse in the house fuse box.,NON_QUALITY_ISSUE
Loud mechanical bang on startup. Main drum motor mounting bolts were incorrectly torqued at the factory.,QUALITY_ISSUE
Machine is dead. Customer had a power outage in the neighborhood.,NON_QUALITY_ISSUE
Display panel is half-lit and flickering. Bad capacitor on the display board power supply line.,QUALITY_ISSUE
Customer wants to replace the rubber feet. Not covered under warranty; normal wear.,NON_QUALITY_ISSUE
Motor smells of burning plastic during spin. Motor windings are overheating due to defect.,QUALITY_ISSUE
"Clothes smell burnt after drying. Customer is leaving the machine in a small, unventilated closet.",NON_QUALITY_ISSUE
Water leaks from the tub-to-pump hose clamp. Clamp was incorrectly sized at the factory.,QUALITY_ISSUE
"Unit vibrates excessively. Found the installation shims are uneven, causing imbalance.",NON_QUALITY_ISSUE
Machine continuously tries to drain. Drain sensor reports high water level even when empty (stuck closed).,QUALITY_ISSUE
Drain hose is leaking at the standpipe. Customer failed to push the hose in far enough.,NON_QUALITY_ISSUE
Drum is not spinning. Drive belt is loose and slipping due to pulley misalignment.,QUALITY_ISSUE
"Customer complains the drum is too small. Machine capacity is 6kg, customer regularly loads 10kg.",NON_QUALITY_ISSUE
Intermittent heating failure. Heater relay on the MCB has burned contacts.,QUALITY_ISSUE
Clothes have white residue. Customer is mixing powder detergent with liquid fabric softener in the main tray.,NON_QUALITY_ISSUE
Water filling slowly. Inlet valve filter screen is partially blocked by manufacturing plastic residue.,QUALITY_ISSUE
Unit makes a clicking noise during agitation. Found the shipping bolt retaining clips were left loose inside the chassis.,NON_QUALITY_ISSUE
Error C2: Drain pump failure. Pump impeller is stuck due to metal shaving debris from the factory.,QUALITY_ISSUE
Customer requests service for replacing the detergent drawer due to permanent mold growth.,NON_QUALITY_ISSUE
Machine stops mid-cycle. Faulty communication signal between the door lock and main board.,QUALITY_ISSUE
Clothes are too wrinkled. Advised customer on using a lower spin speed for delicate shirts.,NON_QUALITY_ISSUE
Water leaking from the bottom. Drain pump casing has a small hole from an internal casting flaw.,QUALITY_ISSUE
Customer complains the machine vibrates. Found the drum is unevenly loaded with a single heavy item.,NON_QUALITY_ISSUE
P-Board dead. Visible burn mark near the power input inductor.,QUALITY_ISSUE
Machine stopped. Technician found the power cord had been pulled slightly out of the wall outlet.,NON_QUALITY_ISSUE
Drum rattles severely. Counterweight bolt snapped due to over-torquing during assembly.,QUALITY_ISSUE
Customer reports clothes are ruined. Found customer washed an expensive silk dress on the 'Heavy Duty' cycle.,NON_QUALITY_ISSUE
Water is left in the tub. Anti-siphon valve spring mechanism is weak and fails to close fully.,QUALITY_ISSUE
Machine fills very slowly. Customer's external water filter is overdue for replacement (severely clogged).,NON_QUALITY_ISSUE
Control panel is erratic. Touchpad sensor membrane is bubbling due to manufacturing adhesive failure.,QUALITY_ISSUE
Customer requesting service because the drain hose needs to be longer to reach a new drain point.,NON_QUALITY_ISSUE
"Unit will not start. The main door hinge is bent, preventing the latch from fully engaging the interlock.",QUALITY_ISSUE
"Clothes still soapy. Customer accidentally used the ""Extra Detergent"" option and forgot to add another rinse cycle.",NON_QUALITY_ISSUE
Loud scraping during spin. Drum support bearing race has corroded due to poor sealing.,QUALITY_ISSUE
Machine is quiet. Advised customer on the noise profile of the new direct-drive motor.,NON_QUALITY_ISSUE
Clothes have black marks. Drum seal rubbing against the inner tub due to misalignment of the tub.,QUALITY_ISSUE
Water leaks from the filler hose. Customer used Teflon tape instead of a new rubber washer.,NON_QUALITY_ISSUE
E90 error code. Software corruption in the main board's EEPROM. Requires replacement.,QUALITY_ISSUE
Customer using industrial caustic soda to clean the drum. This corroded the plastic pipework.,NON_QUALITY_ISSUE
Drum won't spin fast. Tachometer sensor is intermittently shorting on the motor casing.,QUALITY_ISSUE
Machine stops with F1 error. Customer has overloaded the machine to the point where the drum cannot rotate.,NON_QUALITY_ISSUE
Unit leaks from the door seal. Seal has a flaw/cut from the factory.,QUALITY_ISSUE
Clothes are still soaking wet. Customer selected the 'Spin Only' cycle but forgot to set the RPM speed.,NON_QUALITY_ISSUE
Motor makes a loud humming noise but doesn't turn. Starter relay on the MCB failed.,QUALITY_ISSUE
Technician reports excessive limescale buildup on the heating element. Customer lives in a hard water area.,NON_QUALITY_ISSUE
Machine fails to heat water. Heating element continuity is open circuit.,QUALITY_ISSUE
Customer reports the machine smells. Found mold growth in the rubber door boot folds. Advised cleaning.,NON_QUALITY_ISSUE
"Unit stops with error E2. Pressure sensor is defective, sending inconsistent readings.",QUALITY_ISSUE
Clothes damaged. Technician found a screw and washer left in the drum from a previous job.,NON_QUALITY_ISSUE
